word,count,frequency
mammoth,287,0.025378017508179328
year,128,0.011318418958351756
elephant,110,0.009726766292333539
like,102,0.009019365107436554
back,97,0.00857723936687594
,90,0.007958263330091078
would,74,0.006543460960297108
time,69,0.006101335219736493
dna,68,0.00601291007162437
animal,64,0.005659209479175878
could,63,0.005570784331063754
extinct,61,0.005393934034839508
think,58,0.005128658590503139
im,56,0.004951808294278893
human,56,0.004951808294278893
one,55,0.004863383146166769
get,52,0.004598107701830401
woolly,52,0.004598107701830401
even,51,0.004509682553718277
dont,50,0.004421257405606154
specie,50,0.004421257405606154
jurassic,49,0.004332832257494031
going,48,0.004244407109381908
see,48,0.004244407109381908
park,48,0.004244407109381908
go,47,0.0041559819612697856
people,46,0.004067556813157662
thing,45,0.003979131665045539
bring,45,0.003979131665045539
make,43,0.0038022813688212928
know,43,0.0038022813688212928
well,39,0.0034485807763728004
theyre,38,0.0033601556282606775
thats,38,0.0033601556282606775
cant,37,0.003271730480148554
scientist,37,0.003271730480148554
already,37,0.003271730480148554
still,35,0.003094880183924308
way,34,0.003006455035812185
need,34,0.003006455035812185
extinction,32,0.002829604739587939
wooly,32,0.002829604739587939
warming,29,0.0025643292952515695
change,29,0.0025643292952515695
actually,28,0.0024759041471394466
didnt,28,0.0024759041471394466
really,28,0.0024759041471394466
great,28,0.0024759041471394466
enough,28,0.0024759041471394466
say,27,0.0023874789990273233
also,27,0.0023874789990273233
colossal,27,0.0023874789990273233
climate,26,0.0022990538509152004
mean,25,0.002210628702803077
probably,25,0.002210628702803077
global,25,0.002210628702803077
much,25,0.002210628702803077
new,25,0.002210628702803077
read,24,0.002122203554690954
long,24,0.002122203554690954
right,24,0.002122203554690954
good,24,0.002122203554690954
ice,23,0.002033778406578831
remember,23,0.002033778406578831
life,23,0.002033778406578831
want,22,0.001945353258466708
take,22,0.001945353258466708
meat,22,0.001945353258466708
point,22,0.001945353258466708
stop,22,0.001945353258466708
ago,22,0.001945353258466708
something,22,0.001945353258466708
saying,22,0.001945353258466708
doesnt,21,0.001856928110354585
ive,21,0.001856928110354585
getting,21,0.001856928110354585
sure,21,0.001856928110354585
world,21,0.001856928110354585
wrong,21,0.001856928110354585
hope,21,0.001856928110354585
idea,21,0.001856928110354585
help,21,0.001856928110354585
science,21,0.001856928110354585
man,20,0.0017685029622424618
many,20,0.0017685029622424618
5,20,0.0017685029622424618
clone,20,0.0017685029622424618
u,20,0.0017685029622424618
around,19,0.0016800778141303388
4,19,0.0016800778141303388
last,19,0.0016800778141303388
believe,19,0.0016800778141303388
cloning,19,0.0016800778141303388
gene,19,0.0016800778141303388
find,19,0.0016800778141303388
arctic,19,0.0016800778141303388
next,19,0.0016800778141303388
movie,19,0.0016800778141303388
ecosystem,19,0.0016800778141303388
company,19,0.0016800778141303388
big,18,0.0015916526660182157
yeah,18,0.0015916526660182157
work,18,0.0015916526660182157
problem,18,0.0015916526660182157
guy,18,0.0015916526660182157
look,18,0.0015916526660182157
2,17,0.0015032275179060926
wait,17,0.0015032275179060926
10,17,0.0015032275179060926
eat,17,0.0015032275179060926
every,17,0.0015032275179060926
asian,17,0.0015032275179060926
keep,17,0.0015032275179060926
trex,17,0.0015032275179060926
isnt,17,0.0015032275179060926
use,16,0.0014148023697939695
process,16,0.0014148023697939695
theyve,16,0.0014148023697939695
bringing,16,0.0014148023697939695
fact,16,0.0014148023697939695
fuck,16,0.0014148023697939695
genetic,16,0.0014148023697939695
dinosaur,16,0.0014148023697939695
made,15,0.0013263772216818464
youre,15,0.0013263772216818464
two,15,0.0013263772216818464
pretty,15,0.0013263772216818464
lot,15,0.0013263772216818464
permafrost,15,0.0013263772216818464
age,15,0.0013263772216818464
first,15,0.0013263772216818464
arent,15,0.0013263772216818464
let,15,0.0013263772216818464
dodo,15,0.0013263772216818464
said,15,0.0013263772216818464
nothing,15,0.0013263772216818464
article,14,0.0012379520735697233
come,14,0.0012379520735697233
