project,article,granularity,timestamp,access,agent,views
en.wikipedia,Anna_Atkins,monthly,2020-01-01,all-access,all-agents,3037
en.wikipedia,Anna_Atkins,monthly,2020-02-01,all-access,all-agents,2716
en.wikipedia,Anna_Atkins,monthly,2020-03-01,all-access,all-agents,3639
en.wikipedia,Anna_Atkins,monthly,2020-04-01,all-access,all-agents,3156
en.wikipedia,Anna_Atkins,monthly,2020-05-01,all-access,all-agents,2996
en.wikipedia,Anna_Atkins,monthly,2020-06-01,all-access,all-agents,2589
en.wikipedia,Anna_Atkins,monthly,2020-07-01,all-access,all-agents,2598
en.wikipedia,Anna_Atkins,monthly,2020-08-01,all-access,all-agents,2536
en.wikipedia,Anna_Atkins,monthly,2020-09-01,all-access,all-agents,5032
en.wikipedia,Anna_Atkins,monthly,2020-10-01,all-access,all-agents,4332
en.wikipedia,Anna_Atkins,monthly,2020-11-01,all-access,all-agents,3831
en.wikipedia,Anna_Atkins,monthly,2020-12-01,all-access,all-agents,2814
en.wikipedia,Anna_Atkins,monthly,2021-01-01,all-access,all-agents,2714
en.wikipedia,Anna_Atkins,monthly,2021-02-01,all-access,all-agents,2855
en.wikipedia,Anna_Atkins,monthly,2021-03-01,all-access,all-agents,4587
en.wikipedia,Anna_Atkins,monthly,2021-04-01,all-access,all-agents,3481
en.wikipedia,Anna_Atkins,monthly,2021-05-01,all-access,all-agents,3463
en.wikipedia,Anna_Atkins,monthly,2021-06-01,all-access,all-agents,3221
en.wikipedia,Anna_Atkins,monthly,2021-07-01,all-access,all-agents,2633
en.wikipedia,Anna_Atkins,monthly,2021-08-01,all-access,all-agents,2551
en.wikipedia,Anna_Atkins,monthly,2021-09-01,all-access,all-agents,3984
en.wikipedia,Anna_Atkins,monthly,2021-10-01,all-access,all-agents,3687
en.wikipedia,Anna_Atkins,monthly,2021-11-01,all-access,all-agents,3598
en.wikipedia,Anna_Atkins,monthly,2021-12-01,all-access,all-agents,2724
en.wikipedia,Anna_Atkins,monthly,2022-01-01,all-access,all-agents,3229
en.wikipedia,Anna_Atkins,monthly,2022-02-01,all-access,all-agents,3529
en.wikipedia,Anna_Atkins,monthly,2022-03-01,all-access,all-agents,4401
en.wikipedia,Anna_Atkins,monthly,2022-04-01,all-access,all-agents,2781
en.wikipedia,Anna_Atkins,monthly,2022-05-01,all-access,all-agents,2962
en.wikipedia,Anna_Atkins,monthly,2022-06-01,all-access,all-agents,4263
en.wikipedia,Anna_Atkins,monthly,2022-07-01,all-access,all-agents,2477
en.wikipedia,Anna_Atkins,monthly,2022-08-01,all-access,all-agents,2586
en.wikipedia,Anna_Atkins,monthly,2022-09-01,all-access,all-agents,4176
en.wikipedia,Anna_Atkins,monthly,2022-10-01,all-access,all-agents,3684
en.wikipedia,Anna_Atkins,monthly,2022-11-01,all-access,all-agents,3224
en.wikipedia,Anna_Atkins,monthly,2022-12-01,all-access,all-agents,2151
en.wikipedia,Hertha_Ayrton,monthly,2020-01-01,all-access,all-agents,2945
en.wikipedia,Hertha_Ayrton,monthly,2020-02-01,all-access,all-agents,2440
en.wikipedia,Hertha_Ayrton,monthly,2020-03-01,all-access,all-agents,2116
en.wikipedia,Hertha_Ayrton,monthly,2020-04-01,all-access,all-agents,2259
en.wikipedia,Hertha_Ayrton,monthly,2020-05-01,all-access,all-agents,2043
en.wikipedia,Hertha_Ayrton,monthly,2020-06-01,all-access,all-agents,1733
en.wikipedia,Hertha_Ayrton,monthly,2020-07-01,all-access,all-agents,1993
en.wikipedia,Hertha_Ayrton,monthly,2020-08-01,all-access,all-agents,2183
en.wikipedia,Hertha_Ayrton,monthly,2020-09-01,all-access,all-agents,1700
en.wikipedia,Hertha_Ayrton,monthly,2020-10-01,all-access,all-agents,1875
en.wikipedia,Hertha_Ayrton,monthly,2020-11-01,all-access,all-agents,1848
en.wikipedia,Hertha_Ayrton,monthly,2020-12-01,all-access,all-agents,1628
en.wikipedia,Hertha_Ayrton,monthly,2021-01-01,all-access,all-agents,1710
en.wikipedia,Hertha_Ayrton,monthly,2021-02-01,all-access,all-agents,1969
en.wikipedia,Hertha_Ayrton,monthly,2021-03-01,all-access,all-agents,2723
en.wikipedia,Hertha_Ayrton,monthly,2021-04-01,all-access,all-agents,2411
en.wikipedia,Hertha_Ayrton,monthly,2021-05-01,all-access,all-agents,1867
en.wikipedia,Hertha_Ayrton,monthly,2021-06-01,all-access,all-agents,1591
en.wikipedia,Hertha_Ayrton,monthly,2021-07-01,all-access,all-agents,1201
en.wikipedia,Hertha_Ayrton,monthly,2021-08-01,all-access,all-agents,1243
en.wikipedia,Hertha_Ayrton,monthly,2021-09-01,all-access,all-agents,1439
en.wikipedia,Hertha_Ayrton,monthly,2021-10-01,all-access,all-agents,1483
en.wikipedia,Hertha_Ayrton,monthly,2021-11-01,all-access,all-agents,1567
en.wikipedia,Hertha_Ayrton,monthly,2021-12-01,all-access,all-agents,1441
en.wikipedia,Hertha_Ayrton,monthly,2022-01-01,all-access,all-agents,2544
en.wikipedia,Hertha_Ayrton,monthly,2022-02-01,all-access,all-agents,1673
en.wikipedia,Hertha_Ayrton,monthly,2022-03-01,all-access,all-agents,2209
en.wikipedia,Hertha_Ayrton,monthly,2022-04-01,all-access,all-agents,2285
en.wikipedia,Hertha_Ayrton,monthly,2022-05-01,all-access,all-agents,1597
en.wikipedia,Hertha_Ayrton,monthly,2022-06-01,all-access,all-agents,1750
en.wikipedia,Hertha_Ayrton,monthly,2022-07-01,all-access,all-agents,2292
en.wikipedia,Hertha_Ayrton,monthly,2022-08-01,all-access,all-agents,1423
en.wikipedia,Hertha_Ayrton,monthly,2022-09-01,all-access,all-agents,1568
en.wikipedia,Hertha_Ayrton,monthly,2022-10-01,all-access,all-agents,1610
